id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
floor_furnace_,Section 202 General Definitions,Floor Furnace,,,,,,"A completely self-contained furnace suspended from the floor of the space being heated, taking air for combustion from outside such space and with means for observing flames and lighting the appliance from such space."
flue_,Section 202 General Definitions,Flue,,,,,,A passageway within a chimney or vent through which gaseous combustion products pass.
flue_connection_breeching_,Section 202 General Definitions,Flue Connection (Breeching),,,,,,A passage for conducting the products of combustion from a fuel-fired appliance to the vent or chimney (see also Chimney connector and Vent connector).
flue_gases_,Section 202 General Definitions,Flue Gases,,,,,,Products of combustion and excess air.
flue_liner_lining_,Section 202 General Definitions,Flue Liner (Lining),,,,,,"A system or material used to form the inside surface of a flue in a chimney or vent, for the purpose of protecting the surrounding structure from the effects of combustion products and conveying combustion products without leakage to the atmosphere."
food_grade_fluid_,Section 202 General Definitions,Food-Grade Fluid,,,,,,"Potable water or a fluid containing additives listed in accordance with the Code of Federal Regulations, Title 21, Food and Drugs, Chapter 1, Food and Drug Administration, Parts 174—186."
fuel_gas_,Section 202 General Definitions,Fuel Gas,,,,,,"A natural gas, manufactured gas, liquefied petroleum gas or a mixture of these."
fuel_oil_,Section 202 General Definitions,Fuel Oil,,,,,,Kerosene or any hydrocarbon oil having a flash point not less than 100°F (38°C).
fuel_oil_piping_system_,Section 202 General Definitions,Fuel-Oil Piping System,,,,,,A closed piping system that connects a combustible liquid from a source of supply to a fuel-oil-burning appliance.
furnace_,Section 202 General Definitions,Furnace,,,,,,A completely self-contained heating unit that is designed to supply heated air to spaces remote from or adjacent to the appliance location.
furnace_room_,Section 202 General Definitions,Furnace Room,,,,,,"A room primarily utilized for the installation of fuel-burning, space-heating and water-heating appliances other than boilers (see also Boiler room)."
fusible_plug_,Section 202 General Definitions,Fusible Plug,,,,,,A device arranged to relieve pressure by operation of a fusible member at a predetermined temperature.
ground_source_heat_pump_loop_system_,Section 202 General Definitions,Ground Source Heat Pump Loop System,,,,,,Piping buried in horizontal or vertical excavations or placed in a body of water for the purpose of transporting heat transfer liquid to and from a heat pump. Included in this definition are closed loop systems in which the liquid is recirculated and open loop systems in which the liquid is drawn from a well or other source.
hazardous_location_,Section 202 General Definitions,Hazardous Location,,,,,,"Any location considered to be a fire hazard for flammable vapors, dust, combustible fibers or other highly combustible substances. The location is not necessarily categorized in the International Building Code as a high-hazard use group classification."
heat_exchanger_,Section 202 General Definitions,Heat Exchanger,,,,,,A device that transfers heat from one medium to another.
heat_pump_,Section 202 General Definitions,Heat Pump,,,,,,A refrigeration system that extracts heat from one substance and transfers it to another portion of the same substance or to a second substance at a higher temperature for a beneficial purpose.
heat_transfer_liquid_,Section 202 General Definitions,Heat Transfer Liquid,,,,,,"The operating or thermal storage liquid in a mechanical system, including water or other liquid base, and additives at the concentration present under operating conditions used to move heat from one location to another. Refrigerants are not included as heat transfer liquids."
